Category,Common Name,Order,Family,Genus,Species,Subspecies,count Unq Oligos,cnt unq Oligos match Humans,count w linkage,cnt link match Humans,count Core1,cnt Core1 match Humans,count Core2,cnt Core2 match Humans,count Fuc,cnt Fuc match Humans,count Acidic,cnt Acidic match Humans,count Neutral,cnt Neutral match Humans,count wNeu5Gc,cnt Neu5Gc match Humans,NCBITaxID
Marsupials,"Brushtail Possum",Diprotodontia,Phalangeridae,Trichosurus,vulpecula,"",16,2,16,2,0,0,0,0,0,0,7,0,9,2,0,0,9337
Marsupials,"Goodfellow's Tree Kangaroo",Diprotodontia,Macropodidae,Dendrolagus,goodfellowi,"",5,5,5,5,2,2,0,0,4,4,0,0,5,5,0,0,69260
Marsupials,"Grey Kangaroo",Diprotodontia,Macropodidae,Macropus,giganteus,"",1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,9317
Marsupials,Koala,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,"",10,4,10,4,0,0,0,0,2,1,6,2,4,2,0,0,38626
Marsupials,"Tammar Wallaby",Diprotodontia,Macropodidae,Macropus,eugenii,"",18,3,18,3,0,0,0,0,0,0,9,1,9,2,0,0,9315
Marsupials,Wombat,Diprotodontia,Vombatidae,Vombatus,ursinus,"",12,1,12,1,0,0,0,0,0,0,7,0,5,1,0,0,29139
Monotremes,Echidna,Monotreme,Tachyglossidae,Tachyglossus,aculeatus,"",4,4,3,3,0,0,0,0,2,2,2,2,2,2,0,0,9261
Monotremes,Platypus,Monotreme,Ornithorhynchidae,Ornithorhynchus,anatinus,"",33,11,27,5,1,0,22,3,29,9,19,2,14,9,0,0,9258
"Odd-toed Ungulates","Black Rhinoceros",Perissodactyla,Rhonocerotidae,Diceros,bicornis,"",6,6,6,6,3,3,0,0,5,5,0,0,6,6,0,0,9805
"Odd-toed Ungulates",Donkey,Perissodactyla,Equidae,Equus,asinus,"",13,10,13,10,4,4,3,2,2,2,9,6,4,4,1,0,9793
"Odd-toed Ungulates",Horse,Perissodactyla,Equidae,Equus,caballus,"",84,34,38,16,3,3,7,2,5,4,37,13,47,21,3,0,9796
Pilosa,"Giant Anteater",Pilosa,Myrmecophagidae,Mymecophaga,tridactyla,"",5,2,5,2,0,0,2,1,0,0,4,2,1,0,2,0,71006
Pinnipeds,"Arctic Harbor Seal",Pinnipedia,Phocidae,Phoca,vitulina,"",13,7,13,7,0,0,12,6,7,3,7,2,6,5,0,0,9720
Pinnipeds,"Bearded Seal",Pinnipedia,Phocidae,Erignathus,barbatus,"",19,3,19,3,0,0,13,2,19,3,3,1,16,2,0,0,39304
Pinnipeds,"Crabeater Seal",Pinnipedia,Phocidae,Lobodon,carcinophagus,"",1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,101849
Pinnipeds,"Hooded Seal",Pinnipedia,Phocidae,Cystophora,cristata,"",29,8,29,8,0,0,28,7,21,5,0,0,29,8,0,0,39293
"Non-human primates",Aye-aye,Primates,Daubentonlidae,Daubentonia,madagascariensis,"",13,13,13,13,2,2,6,6,8,8,2,2,11,11,0,0,31869
"Non-human primates","Bolivian Squirrel Monkey",Primates,Cebidae,Saimiri,boliviensis,"",2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,39432
"Non-human primates",Bonobo,Primates,Pongidae,Pan,paniscus,"",13,12,13,12,4,4,2,2,8,8,3,2,10,10,1,0,9597
"Non-human primates","Brown Capuchin",Primates,Cebidae,Sapajus,apella,"",10,10,10,10,0,0,3,3,3,3,3,3,7,7,0,0,9515
"Non-human primates",Chimpanzee,Primates,Pongidae,Pan,troglodytes,"",96,55,20,17,4,4,8,6,57,32,30,17,66,38,1,0,9598
"Non-human primates","Common Marmoset",Primates,Callitrichidae,Callithrix,jacchus,"",110,59,15,12,5,5,6,3,23,19,27,20,83,39,0,0,9483
"Non-human primates","Coquerel's Sifaka",Primates,Indriidae,Propithecus,coquereli,"",8,4,8,4,0,0,3,2,1,0,4,3,4,1,0,0,379532
"Non-human primates","Golden Lion Tamarin",Primates,Callitrichidae,Leontopithecus,rosalia,"",77,45,14,12,5,5,6,4,10,8,26,19,51,26,0,0,30588
"Non-human primates",Gorilla,Primates,Pongidae,Gorilla,gorilla,"",65,48,17,15,4,4,5,5,26,19,14,12,51,36,1,0,9595
"Non-human primates","Greater Galago",Primates,Galagidae,Otolemur,crassicaudatus,"",4,3,4,3,0,0,1,1,0,0,2,1,2,2,1,0,9463
"Non-human primates","Hamadryas Baboon",Primates,Cercopithecidae,Papio,hamadryas,"",6,5,6,5,0,0,3,2,2,2,3,3,3,2,0,0,9557
"Non-human primates","Mantled Howler",Primates,Atelidae,Alouatta,palliata,"",2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,30589
"Non-human primates","Mongoose Lemur",Primates,Lemuridae,Eulemur,mongoz,"",13,11,13,11,0,0,8,7,5,4,5,4,8,7,0,0,34828
"Non-human primates",Orangutan,Primates,Pongidae,Pongo,pygmaeus,"",17,15,17,15,4,4,5,4,9,8,6,4,11,11,1,0,9600
"Non-human primates","Rhesus Macaque",Primates,Cercopithecidae,Macaca,mulatta,"",87,69,18,15,3,3,8,7,51,40,33,24,54,45,0,0,9544
"Non-human primates",Siamang,Primates,Hylobatidae,Symphalangus,syndactylus,"",61,41,15,14,2,2,8,7,5,4,28,21,33,20,0,0,9590
"Non-human primates","Toque Macaque",Primates,Cercopithecidae,Macaca,sinica,"",3,3,3,3,0,0,1,1,2,2,1,1,2,2,0,0,9552
Proboscidea,"African Elephant",Proboscidea,Elephantidae,Loxodonta,africana,"",16,10,16,10,0,0,9,6,9,5,10,7,6,3,1,0,9785
Proboscidea,"Asian Elephant",Proboscidea,Elephantidae,Elephas,maximus,"",16,13,16,13,4,4,6,3,8,5,9,6,7,7,0,0,9783
Muridae,Mouse,Rodentia,Muridae,Mus,"not specified","",9,6,8,6,0,0,1,1,0,0,9,6,0,0,0,0,10090
Muridae,Rat,Rodentia,Muridae,Rattus,"not specified","",10,7,8,6,0,0,1,1,0,0,10,7,0,0,0,0,10117
Sirenia,"Florida Manatee",Sirenia,Trichechidae,Trichechus,manatus,latirostris,3,3,3,3,0,0,1,1,2,2,0,0,3,3,0,0,127582
