Category,Common Name,Order,Family,Genus,Species,Subspecies,NCBILink,NCBITaxID
"Canoidea Carnivores","Striped Skunk",Carnivora,Mephitidae,Mephitis,mephitis,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=30548,30548
Cetacea,"Sei Whale",Cetacea,Balaenoptridae,Balaenoptera,borealis,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9768,9768
Muridae,Rat,Rodentia,Muridae,Rattus,"not specified","",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=10117,10117
Sirenia,"Florida Manatee",Sirenia,Trichechidae,Trichechus,manatus,latirostris,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=127582,127582
"Even-toed Ungulates",Addax,Aritodactyla,Bovidae,Addax,nasomaculatus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=59515,59515
"Odd-toed Ungulates",Horse,Perissodactyla,Equidae,Equus,caballus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9796,9796
"Canoidea Carnivores",Raccoon,Carnivora,Procyonidae,Procyonidae,lotor,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9654,9654
"Non-human primates",Aye-aye,Primates,Daubentonlidae,Daubentonia,madagascariensis,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=31869,31869
Monotremes,Echidna,Monotreme,Tachyglossidae,Tachyglossus,aculeatus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9261,9261
"Non-human primates","Common Marmoset",Primates,Callitrichidae,Callithrix,jacchus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9483,9483
"Odd-toed Ungulates",Donkey,Perissodactyla,Equidae,Equus,asinus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9793,9793
Pinnipeds,"Crabeater Seal",Pinnipedia,Phocidae,Lobodon,carcinophagus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=101849,101849
"Feloidea Carnivores",Cheetah,Carnivora,Felidae,Acinonyx,jubatus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=32536,32536
Marsupials,"Tammar Wallaby",Diprotodontia,Macropodidae,Macropus,eugenii,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9315,9315
"Non-human primates","Hamadryas Baboon",Primates,Cercopithecidae,Papio,hamadryas,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9557,9557
"Canoidea Carnivores",Panda,Carnivora,Ursidae,Ailuropoda,melanoleuca,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9646,9646
"Feloidea Carnivores","Domestic Cat",Carnivora,Felidae,Felis,catus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9685,9685
Marsupials,Wombat,Diprotodontia,Vombatidae,Vombatus,ursinus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=29139,29139
Proboscidea,"Asian Elephant",Proboscidea,Elephantidae,Elephas,maximus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9783,9783
"Canoidea Carnivores",Coati,Carnivora,Procyonidae,Nasua,nasua,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=352831,352831
"Non-human primates",Bonobo,Primates,Pongidae,Pan,paniscus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9597,9597
"Non-human primates","Golden Lion Tamarin",Primates,Callitrichidae,Leontopithecus,rosalia,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=30588,30588
"Non-human primates","Bolivian Squirrel Monkey",Primates,Cebidae,Saimiri,boliviensis,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=39432,39432
