NCBITaxID,DOI,isomer_ID
9606,10.1021/acs.analchem.0c00342,2_0_2_0_0a
9913,10.1093/glycob/cwt007,5_1_0_0_0c
9923,10.1016/j.smallrumres.2013.03.014,2_0_1_0_0a
9923,10.1016/j.chroma.2015.09.060,3_0_0_0_0j
9825,10.1002/elps.201500471,4_1_0_0_0g
9913,10.1021/jf300015j,5_4_1_0_0a
9913,10.1016/j.foodchem.2017.02.104,3_0_0_1_0g
39432,10.1007/s10719-010-9315-0,2_0_0_1_0b
9606,10.1016/bs.accb.2015.08.002,4_2_1_1_0k
9590,10.1021/pr1009367,4_2_0_0_0l
9606,10.4052/tigg.1734.1SE,4_1_1_1_0d
9258,10.1093/glycob/cwv010,3_1_1_1_0i
39304,10.1016/j.ab.2009.03.004,6_4_1_0_0c
9923,10.1021/acs.jafc.1c05872,2_2_0_0_0c
9923,10.1016/j.carbpol.2020.115965,3_2_0_0_0g
9483,10.1021/pr1009367,2_0_0_1_0a
9606,10.1016/bs.accb.2015.08.002,5_3_1_0_0d
9598,10.1021/pr1009367,4_2_1_0_0j
32536,10.1007/s10719-019-09899-7,3_0_0_0_0b
9796,10.1002/2211-5463.12460,2_0_0_1_0b
9796,10.1017/S0007114513003772,6_2_0_0_0c
39304,10.1016/j.ab.2009.03.004,8_6_2_0_0a
9606,10.1021/pr1009367,4_2_1_0_0o
29073,10.1016/s0304-4165(00)00103-3,3_0_1_0_0b
9515,10.1007/s10719-010-9315-0,4_2_2_0_0a
9606,10.1016/bs.accb.2015.08.002,6_4_3_0_0e
9606,10.4052/tigg.1734.1SE,5_3_2_0_0q
9923,10.1016/j.chroma.2015.09.060,3_0_0_0_0k
9837,10.1021/acs.jafc.1c05872,2_0_1_0_1a
9606,10.1021/jf0615810,6_4_3_0_0o
9923,10.1016/j.carbpol.2020.115965,2_1_1_0_0c
9838,10.1017/S0007114513003772,1_1_0_0_1a
9606,10.1016/bs.accb.2015.08.002,5_3_3_1_0b
9606,10.1016/bs.accb.2015.08.002,4_2_0_1_0h
9913,10.1021/acs.jafc.1c05872,2_0_2_0_0b
9279,10.1007/s10719-015-9600-z,4_1_0_0_0a
9483,10.1021/pr1009367,4_2_1_0_0j
9913,10.1093/glycob/cwt007,2_1_0_0_0a
9606,10.1021/acs.jafc.1c05872,5_2_0_0_0c
9913,10.1093/glycob/cwt007,3_2_0_0_0g
9825,10.1021/jf100398u,4_2_0_1_0d
9796,10.1002/2211-5463.12460,3_1_0_0_0i
39293,10.1016/j.ab.2009.03.004,4_2_0_0_0b
9838,10.1017/S0007114513003772,4_1_0_0_0a
9825,10.1002/elps.201500471,3_1_0_1_0g
9923,10.1021/acs.jafc.1c05872,2_1_0_0_1a
9606,10.1021/pr1009367,5_3_2_0_0aa
9796,10.1002/2211-5463.12460,3_0_0_0_0f
9739,10.1016/j.bbagen.2005.05.011,2_0_0_1_0a
9606,10.4052/tigg.1734.1SE,6_4_3_0_0j
9825,10.1038/s41598-018-23025-x,3_0_0_1_0e
9606,10.1021/pr1009367,4_2_1_1_0n
9483,10.1021/pr1009367,4_2_0_0_0j
378754,10.1016/j.cbpc.2004.07.012,4_2_0_2_0a
9940,10.1021/acs.jafc.1c05872,2_1_0_1_1a
9837,10.3168/jds.2010-3151,3_1_0_1_0c
9838,10.1017/S0007114513003772,3_0_0_0_2a
9606,10.4052/tigg.1734.1SE,5_3_2_1_0c
9598,10.1021/pr1009367,3_1_1_0_0n
9913,10.3390/dairy1030019,2_0_0_2_0a
29073,10.1016/j.cbpc.2003.09.001,2_0_0_1_0a
9606,10.4052/tigg.1734.1SE,5_3_3_0_0c
9783,10.1016/j.cbpa.2006.08.001,3_1_0_1_0c
9825,10.1021/acs.jafc.6b00497,3_1_0_0_0b
9606,10.1016/bs.accb.2015.08.002,6_4_2_0_0g
29139,10.1111/asj.12566,5_1_0_1_0b
9597,10.1093/glycob/cwp006,2_1_1_0_0b
9923,10.1021/acs.jafc.6b05104,3_3_0_0_0d
9595,10.1021/pr1009367,4_2_1_0_0b
9923,10.1021/acs.jafc.1c05872,2_0_0_1_2a
9913,10.1093/glycob/cwt007,3_1_0_0_0h
9606,10.4052/tigg.1734.1SE,6_4_3_0_0g
9606,10.1016/bs.accb.2015.08.002,6_4_0_0_0b
89462,10.1021/acs.analchem.0c00342,4_2_2_0_0b
9785,10.1016/j.cbpb.2005.05.039,3_0_0_0_0b
9606,10.1021/pr1009367,3_1_0_1_0h
9595,10.1021/pr1009367,3_0_0_0_0f
